date,JPN_GDP
1976-03-01,98.7697950356168
1976-04-01,98.7403964186687
1976-05-01,98.7227056761146
1976-06-01,98.7184040048976
1976-07-01,98.718042608888
1976-08-01,98.7115785020861
1976-09-01,98.6983910070114
1976-10-01,98.6974920051165
1976-11-01,98.7319189595421
1976-12-01,98.8121743033598
1977-01-01,98.9169363811217
1977-02-01,99.0127624968486
1977-03-01,99.0717266434984
1977-04-01,99.0894556428195
1977-05-01,99.0757803583903
1977-06-01,99.0480968855459
1977-07-01,99.0268183130119
1977-08-01,99.031374612733
1977-09-01,99.0756663419257
1977-10-01,99.1615392501453
1977-11-01,99.283250357056
1977-12-01,99.4286978221974
1978-01-01,99.5778499048408
1978-02-01,99.710697556995
1978-03-01,99.8147581150892
1978-04-01,99.8935425189446
1978-05-01,99.958455255555
1978-06-01,100.022329322799
1978-07-01,100.09383391338
1978-08-01,100.178756433713
1978-09-01,100.280607507536
1978-10-01,100.40013261162
1978-11-01,100.536961623016
1978-12-01,100.689855068073
1979-01-01,100.855575336781
1979-02-01,101.028007914072
1979-03-01,101.196226979755
1979-04-01,101.341953792566
1979-05-01,101.444709401668
1979-06-01,101.488507042633
1979-07-01,101.471508678521
1979-08-01,101.397814797553
1979-09-01,101.273552786196
1979-10-01,101.107026729302
1979-11-01,100.9056848172
1979-12-01,100.676198859471
1980-01-01,100.42710107116
1980-02-01,100.172411407518
1980-03-01,99.9366915745404
1980-04-01,99.7605517199436
1980-05-01,99.6860630413926
1980-06-01,99.7383338633203
1980-07-01,99.8997825309772
1980-08-01,100.132410863203
1980-09-01,100.39174227003
1980-10-01,100.635605630149
1980-11-01,100.829715736834
1980-12-01,100.954378195782
1981-01-01,101.014609757012
1981-02-01,101.023928374797
1981-03-01,100.992601957256
1981-04-01,100.919566719283
1981-05-01,100.800294265538
1981-06-01,100.63756641058
1981-07-01,100.455359917431
1981-08-01,100.285545074439
1981-09-01,100.156201394367
1981-10-01,100.079285097933
1981-11-01,100.055417914146
1981-12-01,100.074770385655
1982-01-01,100.114007113479
1982-02-01,100.146900210897
1982-03-01,100.153394185927
1982-04-01,100.129005385747
1982-05-01,100.078724506091
1982-06-01,100.013027518647
1982-07-01,99.9456625570683
1982-08-01,99.8873715847501
1982-09-01,99.8397102574646
1982-10-01,99.7881699986795
1982-11-01,99.7143392235988
1982-12-01,99.6081184637447
1983-01-01,99.4812572807702
1983-02-01,99.3557400344981
1983-03-01,99.2536532158999
1983-04-01,99.1870021486476
1983-05-01,99.1600899101687
1983-06-01,99.1691744433855
1983-07-01,99.1990812501763
1983-08-01,99.2325353621086
1983-09-01,99.2577542232335
1983-10-01,99.275557009703
1983-11-01,99.29355092215
1983-12-01,99.3206702925067
1984-01-01,99.3615311353918
1984-02-01,99.4166915065557
1984-03-01,99.4817032238517
1984-04-01,99.5449097733689
1984-05-01,99.5921120608816
1984-06-01,99.6111224396171
1984-07-01,99.5972192619996
1984-08-01,99.5547432412181
1984-09-01,99.5007872291773
1984-10-01,99.4706755210713
1984-11-01,99.5026320859701
1984-12-01,99.6207816348285
1985-01-01,99.8134911085399
1985-02-01,100.052329168519
1985-03-01,100.305157145585
1985-04-01,100.545645989908
1985-05-01,100.753885792129
1985-06-01,100.917609367891
1985-07-01,101.035412129972
1985-08-01,101.108551789772
1985-09-01,101.135757933021
1985-10-01,101.111034712138
1985-11-01,101.025361275667
1985-12-01,100.871930154489
1986-01-01,100.655493657434
1986-02-01,100.38699941442
1986-03-01,100.082642372038
1986-04-01,99.766549846167
1986-05-01,99.462581338508
1986-06-01,99.1871604806239
1986-07-01,98.9413983262333
1986-08-01,98.7184072688225
1986-09-01,98.5082690082241
1986-10-01,98.3012128624423
1986-11-01,98.0939663282454
1986-12-01,97.8956930446735
1987-01-01,97.7337653516801
1987-02-01,97.6414345368061
1987-03-01,97.6431011063492
