date,India_AverageTemperature
1849-09-01,26.50925319693095
1849-10-01,24.903337595907928
1849-11-01,21.907434782608696
1849-12-01,17.46277493606138
1850-01-01,17.417092071611254
1850-02-01,20.222685421994886
1850-03-01,24.506613810741687
1850-04-01,28.31237851662404
1850-05-01,30.046782608695654
1850-06-01,30.212127877237855
1850-07-01,28.477634271099745
1850-08-01,27.56050895140665
1850-09-01,26.970728900255754
1850-10-01,26.056895140664963
1850-11-01,22.232322250639385
1850-12-01,18.160247395833334
1851-01-01,17.58730179028133
1851-02-01,20.12155754475703
1851-03-01,24.650296875
1851-04-01,28.282286445012787
1851-05-01,30.976588235294116
1851-06-01,29.887672634271098
1851-07-01,28.22501534526854
1851-08-01,27.50686189258312
1851-09-01,27.182969309462912
1851-10-01,25.54304347826087
1851-11-01,21.49576726342711
1851-12-01,18.461196930946294
1852-01-01,18.295813299232737
1852-02-01,21.01951150895141
1852-03-01,23.941843989769822
1852-04-01,28.101135549872122
1852-05-01,30.48025319693095
1852-06-01,29.944861892583123
1852-07-01,28.19500767263427
1852-08-01,27.149570332480817
1852-09-01,26.880496163682864
1852-10-01,24.86306393861893
1852-11-01,21.052925831202046
1852-12-01,18.518196930946292
1853-01-01,17.34235549872123
1853-02-01,20.52490792838875
1853-03-01,25.09381329923274
1853-04-01,28.567219948849104
1853-05-01,31.05660358056266
1853-06-01,30.773081841432223
1853-07-01,28.917746803069054
1853-08-01,27.588007672634273
1853-09-01,27.182593350383634
1853-10-01,25.076306905370842
1853-11-01,21.28210485933504
1853-12-01,18.649048593350383
1854-01-01,18.368416879795397
1854-02-01,19.976667519181586
1854-03-01,25.06152429667519
1854-04-01,28.418340153452686
1854-05-01,31.195115681233933
1854-06-01,30.3187969151671
1854-07-01,28.733
1854-08-01,27.615171355498724
1854-09-01,26.88893094629156
1854-10-01,25.790728900255754
1854-11-01,22.094168797953962
1854-12-01,18.822877237851664
1855-01-01,18.618641943734016
1855-02-01,20.97362915601023
1855-03-01,26.842295000000004
1855-04-01,29.44927621483376
1855-05-01,31.591700767263426
1855-06-01,30.25652685421995
1855-07-01,28.517161125319696
1855-08-01,27.62212020460358
1855-09-01,26.923196930946293
1855-10-01,24.898286445012786
1855-11-01,21.537982097186703
1855-12-01,17.811485933503835
1856-01-01,18.49444730077121
1856-02-01,20.52987979539642
1856-03-01,24.741339331619535
1856-04-01,28.575994858611825
1856-05-01,30.16562121212121
1856-06-01,30.110506393861893
1856-07-01,27.932285347043702
1856-08-01,26.331349614395887
1856-09-01,26.403879177377892
1856-10-01,24.509135549872124
1856-11-01,21.35390537084399
1856-12-01,18.309240409207163
1857-01-01,17.52106138107417
1857-02-01,19.804739130434783
1857-03-01,24.25413043478261
1857-04-01,27.989727513227514
1857-05-01,30.1907146529563
1857-06-01,29.09837566137566
1857-07-01,27.673555555555552
1857-08-01,27.00568253968254
1857-09-01,26.63998148148148
1857-10-01,24.386910052910054
1857-11-01,21.450671122994653
1857-12-01,18.56933155080214
1858-01-01,20.271128301886794
1858-02-01,22.245679104477613
1858-03-01,26.214100746268656
1858-04-01,29.904876865671643
1858-05-01,30.450188679245283
1858-06-01,29.144619402985075
1858-07-01,27.162817164179106
1858-08-01,26.80837313432836
1858-09-01,26.630641791044777
1858-10-01,25.477554716981132
1858-11-01,23.077509433962263
1858-12-01,19.514452830188677
1859-01-01,19.962649056603773
1859-02-01,22.372761194029852
1859-03-01,26.495335849056605
1859-04-01,29.764381132075474
1859-05-01,30.97534716981132
1859-06-01,29.357871698113208
1859-07-01,27.265973584905662
1859-08-01,26.610524528301887
1859-09-01,26.423992452830188
1859-10-01,25.475418867924528
1859-11-01,22.716449056603775
1859-12-01,19.89738867924528
1860-01-01,19.62467169811321
1860-02-01,22.021411320754716
1860-03-01,25.132449056603775
1860-04-01,29.29489433962264
1860-05-01,30.597125
1860-06-01,29.443536764705883
1860-07-01,27.587680147058823
1860-08-01,27.134746323529413
1860-09-01,27.04591911764706
1860-10-01,25.357408088235296
1860-11-01,22.32722794117647
1860-12-01,18.64360294117647
1861-01-01,18.792867924528302
1861-02-01,21.59861132075472
1861-03-01,25.918430188679245
1861-04-01,28.95324528301887
1861-05-01,30.33764528301887
1861-06-01,29.13187132352941
1861-07-01,27.31747169811321
1861-08-01,26.800547169811324
1861-09-01,26.626777358490568
1861-10-01,25.193664150943395
1861-11-01,22.822030188679243
1861-12-01,19.725600000000004
1862-01-01,19.829963470319633
1862-02-01,21.961465753424655
1862-03-01,26.20189497716895
1862-04-01,
1862-05-01,
1862-06-01,
1862-07-01,
1862-08-01,
1862-09-01,
1862-10-01,
1862-11-01,
1862-12-01,
1863-01-01,18.34311111111111
1863-02-01,20.993458333333333
1863-03-01,25.066736111111112
1863-04-01,28.494708333333335
1863-05-01,29.600986111111112
1863-06-01,28.905458333333335
1863-07-01,28.047402777777776
1863-08-01,27.55198611111111
1863-09-01,27.008583333333334
1863-10-01,25.134444444444444
1863-11-01,21.505166666666668
1863-12-01,17.81377777777778
1864-01-01,17.10666666666667
1864-02-01,19.875486111111112
1864-03-01,24.45288888888889
1864-04-01,28.24677777777778
1864-05-01,29.49654166666667
1864-06-01,29.262500000000003
1864-07-01,28.239444444444445
1864-08-01,27.664541666666665
1864-09-01,27.239444444444445
1864-10-01,25.567583333333335
1864-11-01,21.528666666666666
1864-12-01,17.616069444444445
1865-01-01,20.46327205882353
1865-02-01,22.285764705882354
1865-03-01,25.540511029411764
1865-04-01,28.953608552631582
1865-05-01,30.801993421052632
1865-06-01,30.174470394736844
1865-07-01,27.865332225913622
1865-08-01,27.23411513157895
1865-09-01,27.487371710526315
1865-10-01,25.857125
1865-11-01,23.22181907894737
1865-12-01,19.746703947368424
1866-01-01,20.276717687074832
1866-02-01,21.88913605442177
1866-03-01,25.875775510204083
1866-04-01,29.686445578231293
1866-05-01,31.249887755102044
1866-06-01,29.68018367346939
1866-07-01,27.955486394557823
1866-08-01,27.00054081632653
1866-09-01,27.180261904761906
1866-10-01,25.449659863945577
1866-11-01,22.756054421768706
1866-12-01,20.516506578947368
1867-01-01,19.931592105263157
1867-02-01,22.01301075268817
1867-03-01,25.963612903225805
1867-04-01,29.502763440860218
1867-05-01,30.638819727891157
1867-06-01,29.78407823129252
1867-07-01,27.77828231292517
1867-08-01,27.107139455782313
1867-09-01,27.040115646258503
1867-10-01,25.804078231292518
1867-11-01,23.393275747508305
1867-12-01,20.420441860465115
1868-01-01,19.12014469453376
1868-02-01,21.289964630225082
1868-03-01,25.549594855305465
1868-04-01,29.469750865051903
1868-05-01,31.217052117263844
1868-06-01,29.758589576547234
1868-07-01,27.706255892255893
1868-08-01,27.344830618892505
1868-09-01,27.159368078175895
1868-10-01,26.06941042345277
1868-11-01,22.39
1868-12-01,19.627775244299674
1869-01-01,19.262201892744482
1869-02-01,22.46076677316294
1869-03-01,25.722399361022365
1869-04-01,29.696328075709783
1869-05-01,31.044369085173503
1869-06-01,29.895393548387098
1869-07-01,27.854555921052633
1869-08-01,27.043270967741936
1869-09-01,27.223729032258063
1869-10-01,25.61401644736842
1869-11-01,22.393756493506494
1869-12-01,19.185746710526313
1870-01-01,18.016703324808184
1870-02-01,20.226360613810744
1870-03-01,24.785818414322254
1870-04-01,29.108219948849104
1870-05-01,31.604971867007674
1870-06-01,30.156368286445016
1870-07-01,27.978593350383633
1870-08-01,26.85611253196931
1870-09-01,26.960652173913044
1870-10-01,25.24674168797954
1870-11-01,21.69000255754476
1870-12-01,17.692508951406648
1871-01-01,17.660841432225066
1871-02-01,20.441984654731456
1871-03-01,24.825964194373398
1871-04-01,29.124202046035805
1871-05-01,30.868237851662403
1871-06-01,30.387508951406648
1871-07-01,27.934153452685425
1871-08-01,27.469043478260872
1871-09-01,27.321184143222506
1871-10-01,25.550833759590795
1871-11-01,21.419780051150894
1871-12-01,18.341230179028134
1872-01-01,17.96341432225064
1872-02-01,20.175168797953965
1872-03-01,25.46135294117647
1872-04-01,28.893703324808186
1872-05-01,31.007135549872125
1872-06-01,30.14177749360614
1872-07-01,28.015554987212276
1872-08-01,27.17776470588235
1872-09-01,27.03562915601023
1872-10-01,25.54458823529412
1872-11-01,21.63814578005115
1872-12-01,18.39468030690537
1873-01-01,17.774043478260868
1873-02-01,20.819332480818414
1873-03-01,24.695693094629156
1873-04-01,28.781652173913045
1873-05-01,31.337583120204606
1873-06-01,30.148869565217392
1873-07-01,28.253913043478263
1873-08-01,27.443961636828643
1873-09-01,27.105429667519182
1873-10-01,25.528447570332478
1873-11-01,21.68772122762148
1873-12-01,18.736263427109975
1874-01-01,17.74895652173913
1874-02-01,20.558736572890027
1874-03-01,24.149365728900257
1874-04-01,29.158503836317138
1874-05-01,30.716610932475884
1874-06-01,30.101838874680304
1874-07-01,28.07954987212276
1874-08-01,27.467391304347824
1874-09-01,26.995227621483377
1874-10-01,25.935680306905372
1874-11-01,22.285076726342712
1874-12-01,18.200457800511508
1875-01-01,17.816690537084398
1875-02-01,20.240012787723785
1875-03-01,26.460212276214833
1875-04-01,29.786634271099746
1875-05-01,30.929544757033245
1875-06-01,30.364350383631713
1875-07-01,28.05290281329923
1875-08-01,27.21242966751918
1875-09-01,27.134841432225063
1875-10-01,24.603125319693095
1875-11-01,21.67583887468031
1875-12-01,19.086601023017902
1876-01-01,18.503097186700767
1876-02-01,20.697721227621482
1876-03-01,25.370624040920717
1876-04-01,29.137010230179026
1876-05-01,31.407317135549874
1876-06-01,31.076685421994885
1876-07-01,28.027554987212273
1876-08-01,27.35656777493606
1876-09-01,26.888089514066497
1876-10-01,24.725710997442455
1876-11-01,21.474815856777493
1876-12-01,18.228762148337594
1877-01-01,18.280409207161124
1877-02-01,19.258204603580563
1877-03-01,24.733109974424554
1877-04-01,27.445549872122765
1877-05-01,30.163283887468033
1877-06-01,30.655194373401535
1877-07-01,29.302135549872123
1877-08-01,28.672063938618926
1877-09-01,28.03741432225064
1877-10-01,25.455248081841432
1877-11-01,23.224411764705884
1877-12-01,19.549892583120204
1878-01-01,17.891877237851663
1878-02-01,21.755081841432222
1878-03-01,25.940227621483377
1878-04-01,28.78244757033248
1878-05-01,29.825595907928392
1878-06-01,31.775332480818417
1878-07-01,28.793787723785165
1878-08-01,27.643928388746804
1878-09-01,27.779263427109978
1878-10-01,26.445260869565217
1878-11-01,22.395841432225062
1878-12-01,18.340900255754477
1879-01-01,18.46128644501279
1879-02-01,21.195079283887466
1879-03-01,25.345000000000002
1879-04-01,30.12102813299233
1879-05-01,31.669531969309464
1879-06-01,29.5033094629156
1879-07-01,27.953237851662404
1879-08-01,26.858171355498722
1879-09-01,26.92773913043478
1879-10-01,25.180209718670074
1879-11-01,20.57550127877238
1879-12-01,17.536713554987212
1880-01-01,18.432718670076728
1880-02-01,19.98736828644501
1880-03-01,26.710173913043477
1880-04-01,30.126618925831202
1880-05-01,30.820913043478264
1880-06-01,30.1213094629156
1880-07-01,27.462583120204606
1880-08-01,27.669268542199486
1880-09-01,27.027938618925834
1880-10-01,25.86467007672634
1880-11-01,21.55218158567775
1880-12-01,18.176232736572892
1881-01-01,17.948907928388746
1881-02-01,21.573810741687982
1881-03-01,24.326483375959082
1881-04-01,29.253884910485933
1881-05-01,31.199012787723785
1881-06-01,29.760314578005115
1881-07-01,28.091744245524296
1881-08-01,27.30108695652174
1881-09-01,27.332112531969308
1881-10-01,25.64673145780051
1881-11-01,21.255156010230177
1881-12-01,18.53561125319693
1882-01-01,18.991537084398978
1882-02-01,20.222002557544755
1882-03-01,26.061248081841434
1882-04-01,28.926539641943734
1882-05-01,30.137611253196933
1882-06-01,29.354918158567777
1882-07-01,27.28599232736573
1882-08-01,27.265585677749364
1882-09-01,27.145028132992326
1882-10-01,25.339785166240407
1882-11-01,21.291557544757033
1882-12-01,19.053132992327363
1883-01-01,18.118521739130436
1883-02-01,19.673010230179028
1883-03-01,24.675542199488493
1883-04-01,29.440946291560103
1883-05-01,30.92517391304348
1883-06-01,29.78921483375959
1883-07-01,27.75347570332481
1883-08-01,28.007122762148338
1883-09-01,27.16777493606138
1883-10-01,25.109232736572892
1883-11-01,20.670897698209718
1883-12-01,16.91180562659847
1884-01-01,17.817514066496162
1884-02-01,19.780056265984655
1884-03-01,25.72457033248082
1884-04-01,28.69687468030691
1884-05-01,30.95422762148338
1884-06-01,29.98191560102302
1884-07-01,28.000271099744246
1884-08-01,27.288560102301794
1884-09-01,26.67828644501279
1884-10-01,24.244189258312023
1884-11-01,20.293772378516625
1884-12-01,17.792291560102303
1885-01-01,18.360117647058825
1885-02-01,19.001693094629157
1885-03-01,25.153398976982096
1885-04-01,28.443503836317134
1885-05-01,29.541404092071613
1885-06-01,29.965636828644502
1885-07-01,27.993337595907928
1885-08-01,27.302695652173913
1885-09-01,27.29761125319693
1885-10-01,25.658176470588234
1885-11-01,21.8726726342711
1885-12-01,18.411396419437338
1886-01-01,18.02603324808184
1886-02-01,19.910670076726344
1886-03-01,25.054667519181585
1886-04-01,28.915306905370844
1886-05-01,30.651373401534528
1886-06-01,29.709304347826087
1886-07-01,27.689391304347826
1886-08-01,27.310746803069055
1886-09-01,27.489503836317137
1886-10-01,25.96190025575448
1886-11-01,22.225365728900258
1886-12-01,18.769212276214834
1887-01-01,17.784460358056265
1887-02-01,20.00823273657289
1887-03-01,25.333790281329925
